context_count,audit_size,channel_interval_half_width,channel_heterogeneity,score_gradient_noncollinearity_angle,false_certified_sign_rate,harmful_sample_update_rate,clean_gradient_cosine,certified_mass,cosine_gain_over_best_nonoracle,cosine_gain_over_H001,harmful_rate_reduction_over_best_nonoracle,harmful_rate_reduction_over_H001,point_limit_direction_difference,valid_coverage
4,64,0.2,0.0,90,0.0,0.0,0.0,0.0,-1.0,-0.9999232371102981,0.0,0.06666666666666667,1.0,True
4,64,0.2,0.15,0,0.0,0.0,3.105689284423896e-05,0.03333333333333333,-0.9999629889825219,-0.9999114336604172,0.0,0.08333333333333333,1.9998210131174015,True
4,64,0.2,0.15,45,0.0,0.0,0.31649874991408966,0.03333333333333333,-0.6833066749826661,-0.6833024846766638,0.0,0.06666666666666667,1.0,True
4,64,0.2,0.15,90,0.0,0.0,0.5399254723044837,0.06666666666666667,-0.46002562651739554,-0.4598933865535467,0.0,0.06666666666666667,1.0,True
4,64,0.2,0.3,0,0.0,0.0,-0.19989329971651573,0.15,-1.1998139462067994,-1.1997163054670195,0.0,0.03333333333333333,1.9999997990646874,True
4,64,0.2,0.3,45,0.0,0.0,0.9868515931801694,0.1833333333333333,-0.013088210803667556,-0.01277690290971698,0.0,0.05,0.2483897793478493,True
4,64,0.2,0.3,90,0.0,0.0,0.9088662372373324,0.16666666666666666,-0.09105059473008541,-0.0909224473652512,0.0,0.03333333333333333,0.5877793169428204,True
4,128,0.02,0.0,0,0.0,0.0,0.99999525659623,0.6666666666666666,-4.7434037700577745e-06,-4.365293003116833e-06,0.0,0.0,0.0041179024885905705,True
4,128,0.02,0.0,45,0.0,0.0,0.9999988905654658,0.6666666666666666,-1.1094345341744471e-06,-9.148804247516295e-09,0.0,0.0,0.0007375385052692372,True
4,128,0.02,0.0,90,0.0,0.0,0.9999948307508794,0.6666666666666666,-5.169249120395847e-06,-4.0811821733433e-06,0.0,0.0,0.0027600609130614055,True
4,128,0.02,0.15,0,0.0,0.0,0.9999965421034425,0.6666666666666666,-3.1398087862344328e-06,-3.1343192911093e-06,0.0,0.03333333333333333,0.004984358110920613,True
4,128,0.02,0.15,45,0.0,0.0,0.9999974794936024,0.6666666666666666,-7.863976275723772e-07,-5.707558444312256e-07,0.0,0.0,0.0009696148440379326,True
